,lower,upper,bid,Imps,spend,clicks,CTR,eCPC,CPM
1,50,60,59.263291399186386,138836,4418.267,49,0.00039163775074606993,81.1511,31.781834274569395
1,60,70,69.74847912714367,153397,5352.566,58,0.00039163775074606993,81.1511,31.781834274569395
1,70,80,79.88431844455063,145916,6249.957,68,0.00039163775074606993,81.1511,31.781834274569395
1,80,90,89.95217767776795,131020,6249.954,67,0.00039163775074606993,81.1511,31.781834274569395
1,90,100,99.84742232763612,126821,6249.996,63,0.00039163775074606993,81.1511,31.781834274569395
1,100,110,109.88288485507869,121680,6249.942,57,0.00039163775074606993,81.1511,31.781834274569395
1,110,120,119.74638601472077,117734,6249.954,57,0.00039163775074606993,81.1511,31.781834274569395
1,120,130,129.84740225109587,114033,6249.939,57,0.00039163775074606993,81.1511,31.781834274569395
