,lower,upper,bid,Imps,spend,clicks,CTR,eCPC,CPM
1,30,80,65,127669,4057.555,50,0.00039163775074606993,81.1511,31.781834274569395
2,30,85,76,134751,4531.353,56,0.0004155813314929017,80.91701785714285,33.627602021506334
3,30,90,63,141360,4991.369,70,0.0004951895868704018,71.30527142857143,35.30962790039615
4,30,95,34,148008,5459.13,75,0.0005067293659802173,72.7884,36.88401978271445
5,30,100,87,153438,5851.375,75,0.0004887967778516404,78.01833333333333,38.135109946688566
6,30,105,44,158574,6233.926,77,0.0004855777113524285,80.96007792207793,39.312409348316876
7,30,110,91,154765,6249.955,69,0.00044583723710141184,90.57905797101449,40.38351694504571
8,30,115,57,151141,6249.985,68,0.0004499110102487082,91.91154411764705,41.3520156674893
9,30,120,44,147965,6249.981,58,0.00039198459095056263,107.75829310344827,42.239590443686005
10,30,125,104,144656,6249.924,66,0.00045625483906647495,94.69581818181818,43.20542528481363
11,30,130,83,142565,6250.0,67,0.0004699610703889454,93.28358208955224,43.83965208852103
12,30,135,133,140246,6249.957,65,0.00046347132895055833,96.15318461538462,44.56424425652069
13,30,140,77,137851,6249.995,66,0.00047877781082473103,94.69689393939393,45.33877157220477
14,30,145,130,135713,6249.997,64,0.0004715834150007737,97.656203125,46.05304576569673
15,30,150,94,133737,6249.974,60,0.0004486417371408062,104.16623333333334,46.73331987408122
16,30,155,93,131763,6249.979,68,0.0005160781099398161,91.91145588235294,47.433490433581504
17,30,160,154,130227,6249.994,66,0.00050680734409915,94.69687878787879,47.99307363296398
18,30,165,61,128419,6249.998,63,0.0004905816117552698,99.20631746031745,48.66879511598751
19,30,170,104,126379,6249.975,61,0.000482675127988036,102.45860655737705,49.45422103355779
20,30,175,149,124601,6249.988,63,0.0005056139196314637,99.20615873015873,50.1600147671367
21,30,180,107,123224,6249.958,63,0.0005112640394728299,99.20568253968253,50.72029799389729
22,30,185,115,121903,6249.93,61,0.0005003978573127815,102.45786885245901,51.26969803860447
23,30,190,185,120116,6249.947,65,0.00054114356122415,96.15303076923077,52.032593492956806
24,30,195,121,118778,6249.953,63,0.0005304012527572446,99.20560317460318,52.618776204347604
25,30,200,174,117686,6249.958,57,0.00048433968356474005,109.64838596491228,53.107064561630104
26,30,205,51,116406,6249.995,54,0.000463893613731251,115.74064814814814,53.691347525041664
27,30,210,78,115166,6249.986,54,0.0004688883871976104,115.74048148148148,54.26936769532674
28,30,215,127,113701,6249.981,61,0.0005364948417340217,102.45870491803278,54.96856667927283
29,30,220,108,112680,6249.94,55,0.0004881079162229322,113.63527272727272,55.466276180333686
30,30,225,193,111689,6249.978,60,0.0005372059916374934,104.1663,55.95876048670863
31,30,230,165,110601,6249.964,63,0.0005696151029375865,99.20577777777778,56.509109320892215
32,30,235,227,109666,6249.952,58,0.0005288785950066566,107.75779310344828,56.99079021756971
33,30,240,125,108446,6249.953,54,0.0004979436770374195,115.73987037037038,57.63193663205651
34,30,245,109,107664,6249.976,54,0.0005015604101649576,115.7402962962963,58.0507504829841
35,30,250,89,106962,6249.994,63,0.0005889942222471532,99.20625396825396,58.4319103980853
36,30,255,174,105819,6249.97,53,0.0005008552339371946,117.92396226415094,59.06283370661223
37,30,260,247,105121,6249.996,52,0.0004946680492004452,120.19223076923078,59.45525632366511
38,30,265,169,104298,6249.972,59,0.0005656867821051219,105.93172881355932,59.92417879537479
39,30,270,160,103556,6249.971,57,0.0005504268222024798,109.64861403508772,60.35353818223956
40,30,275,205,103060,6249.967,55,0.0005336697069668155,113.63576363636363,60.643964680768484
41,30,280,275,102274,6249.855,57,0.0005573263977159395,109.64657894736841,61.108932866613216
42,30,285,208,101658,6249.988,58,0.0005705404395128765,107.75841379310346,61.480532766727656
43,30,290,156,100939,6249.96,54,0.0005349765700076284,115.74,61.91818821268291
44,30,295,46,100346,6249.983,57,0.0005680346002830207,109.64882456140352,62.28432623123991
45,30,300,229,99679,6249.925,49,0.0004915779652685119,127.54948979591838,62.70051866491438
46,30,305,62,99333,6249.985,53,0.0005335588374457633,117.92424528301886,62.919523219876574
47,35,80,44,133591,4360.294,52,0.0003892477786677246,83.85180769230769,32.63912988150399
48,35,85,67,140497,4833.332,59,0.00041993779226602704,81.92088135593221,34.4016740570973
49,35,90,62,147517,5330.107,60,0.0004067327833402252,88.83511666666666,36.13215426018696
50,35,95,75,153877,5783.975,71,0.00046140748779869634,81.46443661971831,37.58830104564035
51,35,100,93,159504,6205.33,75,0.0004702076436954559,82.73773333333334,38.903914635369645
52,35,105,99,155954,6249.958,66,0.00042320171332572423,94.69633333333333,40.07565051233056
53,35,110,84,152286,6249.977,56,0.0003677291412211234,111.60673214285714,41.04104776538881
54,35,115,94,149045,6249.92,78,0.0005233318796336677,80.12717948717949,41.9331074507699
55,35,120,116,145651,6249.981,70,0.0004806008884250709,89.28544285714285,42.91066316056876
56,35,125,95,143291,6249.986,68,0.00047455876503060205,91.9115588235294,43.617435847331656
57,35,130,128,140890,6249.998,68,0.00048264603591454324,91.91173529411765,44.3608346937327
58,35,135,103,138591,6249.972,73,0.0005267297299247426,85.61605479452055,45.09652141913977
59,35,140,121,136321,6249.958,61,0.0004474732433007387,102.45832786885245,45.84736027464587
60,35,145,100,134378,6249.965,67,0.0004985935197725818,93.28305970149253,46.51032907172305
61,35,150,106,132726,6249.985,65,0.0004897307234452933,96.15361538461538,47.089379624188176
62,35,155,115,130439,6249.99,68,0.0005213164774338963,91.91161764705882,47.915040747015844
63,35,160,38,128814,6249.985,62,0.00048131414287266915,100.80620967741935,48.51945440712966
